"Player","Team","Position","Rk","Status","Opponent","Salary","Score","% Owned","+/-","GP","MIN","FGM","FGA","FG%","FTM","FTA","FT%","3PTM","REB","AST","ST","BLK","TO","PTS"
"Luka Doncic","DAL","PG,G,SF,F,Flx","1","MARCO","","32.00","94.17","100%","0%","23","33.4","9.7","20.3",".476","7.6","9.3",".814","3.0","9.8","9.2","1.3","0.1","4.6","30.0"
"Nikola Jokic","DEN","PF,F,C,Flx","2","Nate","@PHI Tue 8:00PM","56.00","76.76","100%","0%","21","31.0","6.6","14.1",".465","2.0","2.6",".796","0.9","10.1","6.1","1.1","0.6","2.6","16.1"
"Karl-Anthony Towns","MIN","C,Flx","3","GOLD","","62.00","96.03","100%","0%","21","33.7","9.0","17.4",".516","4.6","5.7",".800","3.6","11.7","4.5","1.0","1.4","3.0","26.1"
"Giannis Antetokounmpo","MIL","SF,PF,F,Flx","4","GREEK","","64.00","97.34","100%","0%","24","31.6","11.5","20.3",".564","6.4","10.8",".588","1.6","13.2","5.5","1.3","1.3","3.8","30.9"
"Joel Embiid","PHI","PF,F,C,Flx","5","GAV","DEN Tue 8:00PM","53.00","79.24","100%","0%","19","30.4","7.0","15.3",".459","6.8","8.5",".807","1.1","12.5","2.9","0.9","1.4","3.4","21.9"
"Montrezl Harrell","LAC","PF,F,C,Flx","6","TM2","","5.00","76.61","100%","0%","25","29.3","7.9","13.3",".596","3.2","5.3",".614","0.0","7.8","2.0","0.8","1.2","1.6","19.1"
"Jamal Murray","DEN","PG,SG,G,Flx","7","Twats","@PHI Tue 8:00PM","16.00","74.68","100%","0%","21","32.8","6.9","15.8",".437","2.7","3.0",".903","1.7","4.3","4.8","1.5","0.4","2.3","18.2"
"Pascal Siakam","TOR","PF,F,Flx","8","TM2","","8.00","86.44","100%","0%","23","36.9","9.2","20.0",".458","3.9","4.8",".811","2.3","8.4","3.6","0.9","0.7","2.7","24.5"
"Trae Young","ATL","PG,G,Flx","9","D","@MIA Tue 8:00PM","17.00","86.72","100%","0%","22","34.6","9.5","20.5",".462","6.4","7.5",".860","3.5","4.1","8.4","1.3","0.0","4.9","28.8"
"Bam Adebayo","MIA","PF,F,C,Flx","10","TM2","ATL Tue 8:00PM","2.00","81.76","100%","0%","23","33.1","5.4","9.3",".579","3.8","5.7",".659","0.0","10.5","4.1","1.4","1.2","3.0","14.6"
"Devin Booker","PHO","PG,SG,G,Flx","11","GAV","","37.00","79.61","100%","0%","23","35.7","9.0","17.5",".514","5.1","5.7",".908","2.3","3.9","6.3","0.6","0.3","3.9","25.5"
"Clint Capela","HOU","PF,F,C,Flx","12","MARCO","","18.00","64.98","100%","0%","19","32.6","6.4","9.9",".646","1.5","3.2",".467","0.0","14.8","1.0","0.8","1.8","1.8","14.3"
"Anthony Davis","LAL","PF,F,C,Flx","13","Twats","","59.00","95.52","100%","0%","23","34.4","9.7","19.0",".507","7.3","8.3",".870","1.1","9.0","3.3","1.5","2.7","2.3","27.7"
"Andre Drummond","DET","PF,F,C,Flx","14","Tim","","25.00","87.92","100%","0%","24","33.8","7.3","13.5",".538","2.9","4.5",".639","0.0","16.7","3.0","1.7","1.9","3.6","17.5"
"Zach LaVine","CHI","PG,SG,G,Flx","15","MARCO","","12.00","88.45","100%","0%","25","32.8","7.6","17.8",".425","4.2","5.2",".800","3.0","4.5","4.0","1.2","0.5","3.4","22.2"
"Damian Lillard","POR","PG,G,Flx","16","Levine","NY Tue 10:00PM","40.00","87.2","100%","0%","22","36.9","8.3","18.7",".443","7.0","7.7",".911","3.1","4.6","7.4","1.0","0.5","2.9","26.7"
"Jayson Tatum","BOS","SF,PF,F,Flx","17","GOLD","","9.00","85.35","100%","0%","22","34.1","7.6","18.4",".415","3.3","4.0",".820","2.5","7.2","2.8","1.5","0.8","2.2","21.1"
"James Harden","HOU","PG,SG,G,SF,F,Flx","18","TM2","","69.00","100","100%","0%","23","37.7","10.3","24.0",".431","12.6","14.3",".879","4.7","6.0","7.5","2.0","0.6","5.0","38.0"
"Buddy Hield","SAC","SG,G,Flx","19","TM2","","9.00","77.63","100%","0%","23","34.3","7.8","18.4",".423","2.0","2.3",".852","3.9","4.8","2.7","0.8","0.4","2.6","21.4"
